6.465102411240593039e-01,0.000000000000000000e+00
5.407939282924176805e-01,0.000000000000000000e+00
3.061283846946881715e-01,2.594520044731061950e-239
4.929389508769908557e-01,0.000000000000000000e+00
1.017356743215131892e-01,1.066686824597592510e-14
3.981295868514339586e-01,4.167680647617103992e-152
2.016738751598908808e-01,3.022206625103643556e-36
1.816104943721157938e-01,2.527815258966317110e-28
3.806617531055613846e-01,5.573533788401139126e-100
9.899622984383356361e-02,7.147255753816207142e-10
9.686495618255727136e-01,0.000000000000000000e+00
1.007843223837327384e+00,0.000000000000000000e+00
4.940958221963828723e-01,0.000000000000000000e+00
5.696428171984933009e-01,0.000000000000000000e+00
